Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,68.150002,69.970001,66.849998,69.720001,69.720001,3621419
2018-05-07,69.849998,71.889999,67.629997,70.699997,70.699997,4259821
2018-05-14,70.540001,72.300003,70.260002,71.279999,71.279999,2756818
2018-05-21,71.470001,72.830002,67.419998,67.879997,67.879997,3142220
2018-05-28,66.489998,68.669998,65.510002,65.809998,65.809998,3485302
2018-06-04,65.709999,66.239998,64.220001,65.739998,65.739998,3365818
2018-06-11,65.559998,67.160004,64.290001,65.059998,65.059998,2681849
2018-06-18,64.400002,69.379997,63.590000,68.580002,68.580002,3040155
2018-06-25,68.750000,74.459999,67.720001,74.150002,74.150002,3759645
2018-07-02,73.620003,75.269997,72.139999,73.800003,73.800003,2772453
2018-07-09,73.870003,74.699997,69.230003,71.010002,71.010002,3219722
2018-07-16,70.519997,71.099998,67.029999,70.459999,70.459999,1762707
2018-07-23,68.169998,69.919998,67.559998,68.690002,68.690002,2652928
2018-07-30,69.010002,70.430000,66.919998,68.489998,68.489998,2566328
2018-08-06,68.650002,69.919998,66.139999,67.629997,67.629997,2774836
2018-08-13,67.779999,68.370003,64.430000,65.910004,65.910004,2244959
2018-08-20,65.910004,69.309998,65.589996,68.720001,68.720001,2100258
2018-08-27,68.570000,70.500000,68.209999,69.800003,69.800003,2121863
2018-09-03,70.120003,71.400002,66.860001,67.750000,67.750000,2492804
2018-09-10,67.820000,71.260002,67.330002,68.989998,68.989998,3344598
2018-09-17,68.930000,71.809998,68.529999,70.779999,70.779999,2245167
2018-09-24,71.139999,73.730003,71.139999,73.250000,73.250000,2591233
2018-10-01,73.290001,76.900002,72.949997,74.339996,74.339996,3065050
2018-10-08,74.400002,75.279999,70.510002,71.339996,71.339996,3241842
2018-10-15,71.849998,72.699997,68.470001,69.120003,69.120003,2078845
2018-10-22,69.410004,69.660004,65.739998,67.589996,67.589996,3311305
2018-10-29,67.550003,67.949997,62.630001,63.139999,63.139999,3323607
2018-11-05,62.990002,64.139999,59.259998,60.189999,60.189999,3823272
2018-11-12,60.700001,61.279999,54.750000,56.459999,56.459999,3162058
2018-11-19,56.720001,57.439999,50.150002,50.419998,50.419998,3431748
2018-11-26,50.619999,52.560001,49.410000,50.930000,50.930000,3868241
2018-12-03,52.450001,54.549999,50.080002,52.610001,52.610001,4096037
2018-12-10,52.029999,53.270000,50.349998,51.200001,51.200001,3389763
